Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.7842,-34.43421422,-33.81394481,-29.1578869,-24.81180616,-34.85265651,-38.94350631,112.3740982,-18.55443198,-19.20486396,51.29171186,60.66274332,-85.13784479,-0.301760958,-1.050049584,-0.700455652,-0.650142367,-24.94705692,-33.05220982,-34.20879429,-28.03825226,,20
0.79,-34.58330698,-34.39178201,-28.61688972,-25.12738468,-32.89145209,-40.75021111,99.46732758,-23.82342277,-23.80937866,39.19109307,52.39432301,-87.9023737,-0.354009977,-1.069613761,-0.724016476,-0.646930076,-25.12168322,-33.25347909,-34.57736084,-28.12280226,,20
0.7958,-34.78495799,-34.75025081,-27.93170983,-25.54295094,-31.0525148,-42.42679016,90.82835038,-31.65610693,-29.9894955,26.67623407,42.14593467,-85.76869773,-0.396723627,-1.081627566,-0.738521641,-0.605281569,-25.05801499,-33.12941706,-34.73188334,-28.18945441,,20
0.8016,-34.69110797,-35.35333936,-27.44171316,-26.2594079,-29.47750031,-44.18625922,84.18202036,-42.06401879,-38.14672306,15.02424194,30.4722505,-88.00799512,-0.425290196,-1.031607027,-0.727939923,-0.576044139,-25.13499761,-32.81671383,-34.65762927,-28.39787761,,20
0.8074,-34.43435552,-36.43202222,-27.16122218,-27.15290431,-28.09727333,-48.27630678,79.93737765,-52.11401289,-47.69565402,5.661956456,17.09876896,-85.52832232,-0.443961603,-0.94280776,-0.731390393,-0.559107083,-25.17949633,-32.83009755,-34.73804657,-28.77525087,,20
0.8132,-34.01098974,-37.15179506,-27.20243463,-28.03492725,-27.01152337,-51.97557596,75.24043022,-59.54867765,-57.63953647,0.532069614,2.989840818,-44.64905109,-0.457386576,-0.839334096,-0.723326778,-0.54856529,-25.26474735,-33.08478468,-34.62513293,-29.15235105,,20
0.819,-33.44458705,-37.50367685,-27.64151053,-28.36499781,-26.06080414,-48.26196483,71.25799377,-70.86002505,-68.73707058,-3.480404907,-11.65526355,-17.70213848,-0.450959187,-0.768891573,-0.710124869,-0.56651216,-25.51238069,-33.64609292,-34.41466758,-29.52357896,,20
0.8248,-32.62499683,-37.83691912,-28.66691982,-28.58221123,-25.35702839,-46.10108495,66.58812686,-84.88202302,-78.69627278,-7.865952952,-29.03749446,-9.360697437,-0.434383047,-0.712654817,-0.704680285,-0.57183405,-25.71205097,-34.31959138,-34.29403262,-29.92545466,,20
0.8306,-31.89888391,-38.33398766,-30.17990352,-28.63574227,-25.21960639,-44.74872695,60.8575694,-99.71101358,-86.12661678,-11.2744217,-46.50355824,0.85082655,-0.4289209,-0.663804303,-0.674720124,-0.575247105,-26.0274217,-34.83115843,-33.95555392,-30.15229828,,20
0.8364,-31.19874989,-38.64723835,-32.14505071,-28.40566674,-25.46209821,-42.12245687,54.49006992,-113.7893817,-87.01936197,-14.71225,-62.74632473,7.704609224,-0.407054027,-0.6534131,-0.652307686,-0.587118225,-26.50908726,-35.41407333,-33.70513621,-30.43319834,,20
